#Please import the downloaded file into Excel 2007 or above version
Family	Family_type	Sequence_Acc	Domains	Sequence_Annotation
bHLH	transcription factor	Potra2n3c7678.1	IPR011598	protein AED:0.35 eAED:0.35 QI:246|1|1|1|0.66|0.5|4|631|303
bHLH	transcription factor	Potra2n3c7678.2	IPR011598	protein AED:0.34 eAED:0.34 QI:386|1|1|1|1|1|3|618|303
bHLH	transcription factor	Potra2n3c7678.3	IPR011598	protein AED:0.35 eAED:0.35 QI:246|0.5|1|1|0.5|1|3|618|303
bHLH	transcription factor	Potra2n3c7678.4	IPR011598	protein AED:0.35 eAED:0.35 QI:246|1|1|1|1|1|3|618|303
C2H2	transcription factor	Potra2n3c7674.1	IPR001841,IPR018957	protein AED:0.40 eAED:0.40 QI:0|-1|0|1|-1|1|1|0|267
C2H2	transcription factor	Potra2n3c7679.1	IPR001841,IPR018957	protein AED:0.18 eAED:0.18 QI:0|0|0.33|1|0|0.33|3|221|408
C2C2-GATA	transcription factor	Potra2n3c7686.1	IPR000679	protein AED:0.24 eAED:0.24 QI:411|1|1|1|1|1|7|457|404
C2C2-GATA	transcription factor	Potra2n3c7686.2	IPR000679	protein AED:0.24 eAED:0.24 QI:409|0.83|0.85|1|0.83|1|7|457|397
Znf-B	transcription factor interactor and regulator	Potra2n3c7682.1	IPR000315,IPR006734	protein AED:0.28 eAED:0.28 QI:0|0.5|0.4|0.8|0.25|0.4|5|869|302
PLATZ	putative novel transcription repressor	Potra2n3c7682.1	IPR000315,IPR006734	protein AED:0.28 eAED:0.28 QI:0|0.5|0.4|0.8|0.25|0.4|5|869|302
Znf-B	transcription factor interactor and regulator	Potra2n3c7682.2	IPR000315,IPR006734	protein AED:0.29 eAED:0.29 QI:0|0.75|0.6|0.8|0.5|0.6|5|869|267
PLATZ	putative novel transcription repressor	Potra2n3c7682.2	IPR000315,IPR006734	protein AED:0.29 eAED:0.29 QI:0|0.75|0.6|0.8|0.5|0.6|5|869|267
GAGA-Binding-like	transcription factor	Potra2n3c7626.1	IPR010409	protein AED:0.48 eAED:0.48 QI:0|0|0|1|1|1|2|0|131
MYB-HB-like	transcription factor	Potra2n3c7619.1	IPR001005,IPR006447,IPR009057	protein AED:0.06 eAED:0.05 QI:577|0.83|0.85|1|0.66|0.57|7|708|295
MYB-HB-like	transcription factor	Potra2n3c7619.2	IPR001005,IPR006447,IPR009057,IPR017930	protein AED:0.06 eAED:0.06 QI:577|1|1|1|0.83|0.71|7|708|283
CHROMO-DOMAIN	chromatin remodeling & transcriptional activation	Potra2n3c7620.1	IPR000953,IPR016197	protein AED:0.17 eAED:0.16 QI:345|0.90|0.86|1|0.86|0.86|23|404|1249
CHROMO-DOMAIN	chromatin remodeling & transcriptional activation	Potra2n3c7620.2	IPR000953,IPR016197	protein AED:0.16 eAED:0.16 QI:345|0.90|0.91|1|0.90|0.95|23|404|1233
C3H-WRC/GRF	transcription factor interactor and regulator	Potra2n3c7613.1	IPR014977,IPR014978	protein AED:0.30 eAED:0.30 QI:318|1|1|1|0.66|0.5|4|384|347
C3H-WRC/GRF	transcription factor interactor and regulator	Potra2n3c7613.2	IPR014977,IPR014978	protein AED:0.34 eAED:0.34 QI:318|0.66|0.75|1|0.33|0.25|4|0|360
C2H2	transcription factor	Potra2n3c7708.1	IPR001841	protein AED:0.01 eAED:0.01 QI:223|1|1|1|0.5|0.33|3|303|729
C2H2	transcription factor	Potra2n3c7708.2	IPR001841	protein AED:0.00 eAED:0.00 QI:303|1|1|1|1|1|2|303|729
C2H2	transcription factor	Potra2n9c19749.1	IPR007087,IPR015880	protein AED:0.24 eAED:0.24 QI:0|-1|0|1|-1|1|1|0|384
PHD	chromatin regulator	Potra2n3c7700.1	IPR001965,IPR011011,IPR019787	protein AED:0.19 eAED:0.19 QI:0|0.9|0.90|1|1|1|11|315|1234
PHD	chromatin regulator	Potra2n3c7700.2	IPR001965,IPR011011,IPR019787	protein AED:0.19 eAED:0.19 QI:0|0.9|0.90|1|0.9|0.90|11|315|1222
C2H2	transcription factor	Potra2n3c7698.1	IPR007087,IPR015880	protein AED:0.35 eAED:0.35 QI:0|-1|0|1|-1|1|1|0|202
NAM	transcription factor	Potra2n3c7710.1	IPR003441	protein AED:0.07 eAED:0.07 QI:610|1|1|1|0.8|0.66|6|410|371
Znf-LSD	transcription factor	Potra2n3c7705.1	IPR005735	protein AED:0.15 eAED:0.15 QI:609|0.8|0.83|1|0.4|0.33|6|1092|156
Znf-LSD	transcription factor	Potra2n3c7705.2	IPR005735	protein AED:0.17 eAED:0.17 QI:486|1|1|1|0.6|0.33|6|1092|154
Znf-LSD	transcription factor	Potra2n3c7705.3	IPR005735	protein AED:0.12 eAED:0.12 QI:1067|1|1|1|0.5|0.2|5|1092|84
Znf-LSD	transcription factor	Potra2n3c7705.4	IPR005735	protein AED:0.12 eAED:0.12 QI:837|0.75|0.8|1|0.5|0.6|5|1092|156
Znf-LSD	transcription factor	Potra2n3c7705.5	IPR005735	protein AED:0.36 eAED:0.36 QI:486|0.66|0.5|1|0.33|0.25|4|0|127
GARP-G2-like	transcription factor	Potra2n3c7730.1	IPR001005,IPR001789,IPR006447,IPR009057,IPR017930	protein AED:0.18 eAED:0.18 QI:298|0.91|0.92|1|0.5|0.46|13|1084|543
RR-A-type	response regulator and putative novel transcription factor	Potra2n3c7730.1	IPR001005,IPR001789,IPR006447,IPR009057,IPR017930	protein AED:0.18 eAED:0.18 QI:298|0.91|0.92|1|0.5|0.46|13|1084|543
GARP-G2-like	transcription factor	Potra2n3c7730.2	IPR001005,IPR001789,IPR006447,IPR009057,IPR017930	protein AED:0.19 eAED:0.19 QI:241|0.91|0.92|1|0.5|0.46|13|1148|535
RR-A-type	response regulator and putative novel transcription factor	Potra2n3c7730.2	IPR001005,IPR001789,IPR006447,IPR009057,IPR017930	protein AED:0.19 eAED:0.19 QI:241|0.91|0.92|1|0.5|0.46|13|1148|535
GARP-G2-like	transcription factor	Potra2n3c7730.3	IPR001005,IPR001789,IPR006447,IPR009057,IPR017930	protein AED:0.14 eAED:0.14 QI:510|0.90|0.91|1|0.54|0.58|12|1320|545
RR-A-type	response regulator and putative novel transcription factor	Potra2n3c7730.3	IPR001005,IPR001789,IPR006447,IPR009057,IPR017930	protein AED:0.14 eAED:0.14 QI:510|0.90|0.91|1|0.54|0.58|12|1320|545
GARP-G2-like	transcription factor	Potra2n3c7730.4	IPR001005,IPR001789,IPR006447,IPR009057,IPR017930	protein AED:0.16 eAED:0.16 QI:298|0.90|0.91|1|0.54|0.58|12|1320|545
RR-A-type	response regulator and putative novel transcription factor	Potra2n3c7730.4	IPR001005,IPR001789,IPR006447,IPR009057,IPR017930	protein AED:0.16 eAED:0.16 QI:298|0.90|0.91|1|0.54|0.58|12|1320|545
RR-A-type	response regulator and putative novel transcription factor	Potra2n3c7730.5	IPR001789	protein AED:0.15 eAED:0.15 QI:510|0.9|0.90|1|0.4|0.54|11|1320|498
C2H2	transcription factor	Potra2n3c7757.1	IPR001841	protein AED:0.07 eAED:0.06 QI:880|0.6|0.83|0.83|0.2|0.16|6|331|346
C2H2	transcription factor	Potra2n3c7757.2	IPR001841	protein AED:0.02 eAED:0.02 QI:880|0.5|0.8|0.8|0.25|0.4|5|564|346
STY-LRP1	transcription factor	Potra2n3c7755.1	IPR007818	protein AED:0.05 eAED:0.05 QI:283|1|1|1|0.8|0.66|6|300|373
STY-LRP1	transcription factor	Potra2n3c7755.2	IPR007818	protein AED:0.04 eAED:0.04 QI:322|1|1|1|1|1|5|300|373
MYB	transcription factor	Potra2n3c7774.1	IPR001005,IPR017877	protein AED:0.30 eAED:0.30 QI:376|1|1|1|0|0|2|539|453
C2H2	transcription factor	Potra2n3c7799.1	IPR015880	protein AED:0.33 eAED:0.33 QI:233|1|1|1|0.57|0.73|15|540|434
SET	chromatin remodeling	Potra2n3c7784.1	IPR001214	protein AED:0.17 eAED:0.19 QI:0|0|0|1|0|0.33|3|0|990
C2H2	transcription factor	Potra2n3c7779.1	IPR000330,IPR001841,IPR017907,IPR018957	protein AED:0.12 eAED:0.12 QI:57|1|1|1|1|1|18|366|937
SNF2	chromatin remodeling	Potra2n3c7779.1	IPR000330,IPR001841,IPR017907,IPR018957	protein AED:0.12 eAED:0.12 QI:57|1|1|1|1|1|18|366|937
C2C2-GATA	transcription factor	Potra2n3c7787.1	IPR000679	protein AED:0.23 eAED:0.24 QI:665|0.75|0.77|1|0.87|0.88|9|1044|579
C2C2-GATA	transcription factor	Potra2n3c7787.2	IPR000679	protein AED:0.23 eAED:0.23 QI:665|0.75|0.88|1|1|1|9|1044|564
AP2-EREBP	transcription factor	Potra2n3c7897.1	IPR001471	protein AED:0.07 eAED:0.07 QI:234|1|1|1|0.5|0.33|3|735|380
AP2-EREBP	transcription factor	Potra2n3c7897.2	IPR001471	protein AED:0.05 eAED:0.05 QI:234|1|1|1|1|1|2|836|380
C2H2	transcription factor	Potra2n3c7867.1	IPR001781,IPR003656,IPR007087,IPR015880	protein AED:0.09 eAED:0.09 QI:1965|1|1|1|0.75|0.66|9|493|371
LIM	transcription factor interactor and regulator	Potra2n3c7867.1	IPR001781,IPR003656,IPR007087,IPR015880	protein AED:0.09 eAED:0.09 QI:1965|1|1|1|0.75|0.66|9|493|371
C2H2	transcription factor	Potra2n3c7867.2	IPR001781,IPR003656,IPR015880	protein AED:0.09 eAED:0.09 QI:1988|1|1|1|0.85|0.75|8|493|371
LIM	transcription factor interactor and regulator	Potra2n3c7867.2	IPR001781,IPR003656,IPR015880	protein AED:0.09 eAED:0.09 QI:1988|1|1|1|0.85|0.75|8|493|371
C2H2	transcription factor	Potra2n3c7879.1	IPR001841,IPR018957	protein AED:0.39 eAED:0.39 QI:0|-1|1|1|-1|1|1|0|277
PHD	chromatin regulator	Potra2n3c7891.1	IPR000306,IPR011011	protein AED:0.08 eAED:0.07 QI:1029|0.90|0.91|1|0.90|0.83|12|363|1842
PHD	chromatin regulator	Potra2n3c7891.2	IPR000306,IPR011011	protein AED:0.08 eAED:0.07 QI:1025|0.9|0.90|1|1|1|11|363|1842
bHLH	transcription factor	Potra2n3c7866.1	IPR011598	protein AED:0.25 eAED:0.25 QI:0|0.5|0.6|1|0.5|0.6|5|511|280
bHLH	transcription factor	Potra2n3c7866.2	IPR011598	protein AED:0.26 eAED:0.26 QI:0|0.5|0.6|1|0.5|0.6|5|511|259
bHLH	transcription factor	Potra2n3c7866.3	IPR011598	protein AED:0.18 eAED:0.18 QI:586|1|1|1|0.5|0.33|3|511|211
C2H2	transcription factor	Potra2n9c19806.1	IPR007087,IPR015880	protein AED:0.35 eAED:0.35 QI:74|1|1|1|1|1|2|0|206
C2H2	transcription factor	Potra2n3c7825.1	IPR001841,IPR001878	protein AED:0.08 eAED:0.07 QI:950|0.92|0.93|1|0.92|0.93|15|774|868
CCHC(Zn)	transcription factor interactor and regulator	Potra2n3c7825.1	IPR001841,IPR001878	protein AED:0.08 eAED:0.07 QI:950|0.92|0.93|1|0.92|0.93|15|774|868
MYB-HB-like	transcription factor	Potra2n3c7822.1	IPR001005,IPR009057,IPR015495,IPR017930	protein AED:0.12 eAED:0.12 QI:214|1|1|1|1|1|3|109|198
AP2-EREBP	transcription factor	Potra2n3c7834.1	IPR001471	protein AED:0.13 eAED:0.13 QI:113|0.5|0.66|1|0|0|3|0|196
AP2-EREBP	transcription factor	Potra2n3c7807.1	IPR001471	protein AED:0.15 eAED:0.15 QI:0|0.33|0.25|0.75|0|0.25|4|127|335
MYB-HB-like	transcription factor	Potra2n3c7818.1	IPR001005,IPR001878,IPR006447,IPR009057,IPR017930	protein AED:0.24 eAED:0.24 QI:357|1|0.66|1|1|1|3|1157|338
AP2-EREBP	transcription factor	Potra2n3c7800.1	IPR001471	protein AED:0.31 eAED:0.31 QI:0|-1|1|1|-1|1|1|0|280
HD-ZIP	transcription factor	Potra2n3c7815.1	IPR001356,IPR006712,IPR009057	protein AED:0.05 eAED:0.05 QI:364|0.66|0.75|1|0.66|0.75|4|507|354
HD-ZIP	transcription factor	Potra2n3c7815.2	IPR001356,IPR006712,IPR009057	protein AED:0.09 eAED:0.09 QI:364|1|1|1|1|1|4|507|305
AP2-EREBP	transcription factor	Potra2n3c7820.1	IPR001471	protein AED:0.21 eAED:0.21 QI:0|0|0|0.5|0|0|2|0|263
C2H2	transcription factor	Potra2n3c7840.1	IPR007087,IPR015880	protein AED:0.36 eAED:0.30 QI:0|0|0|1|1|1|2|0|360
C2H2	transcription factor	Potra2n3c7858.1	IPR001841,IPR018957	protein AED:0.48 eAED:0.48 QI:0|-1|0|1|-1|1|1|0|166
PLATZ	putative novel transcription repressor	Potra2n3c7856.1	IPR006734	protein AED:0.27 eAED:0.27 QI:427|0.75|0.8|1|0.25|0.4|5|372|280
PLATZ	putative novel transcription repressor	Potra2n3c7856.3	IPR006734	protein AED:0.28 eAED:0.28 QI:375|0.66|0.75|1|0.33|0.75|4|372|280
WD40-like	transcription factor	Potra2n3c7942.1	IPR001680,IPR017986,IPR019775	protein AED:0.17 eAED:0.17 QI:751|1|1|1|0.85|0.75|8|479|350
WD40-like	transcription factor	Potra2n3c7933.1	IPR001680,IPR017986,IPR019775	protein AED:0.03 eAED:0.03 QI:1011|0.75|0.66|1|0.62|0.55|9|702|581
WD40-like	transcription factor	Potra2n3c7933.2	IPR001680,IPR017986,IPR019775	protein AED:0.02 eAED:0.02 QI:1092|0.71|0.62|1|0.71|0.75|8|702|581
WD40-like	transcription factor	Potra2n3c7933.3	IPR001680,IPR017986,IPR019775	protein AED:0.10 eAED:0.09 QI:1092|0.57|0.5|1|0.85|0.87|8|0|638
C3H	transcription factor	Potra2n3c7926.1	IPR000571	protein AED:0.07 eAED:0.07 QI:301|1|1|1|1|1|2|587|275
C2H2	transcription factor	Potra2n9c19780.2	IPR001841,IPR017907	protein AED:0.17 eAED:0.17 QI:234|1|1|1|0.54|0.33|12|4721|1317
C2H2	transcription factor	Potra2n9c19780.4	IPR001841,IPR017907	protein AED:0.33 eAED:0.33 QI:234|1|1|1|0.57|0.37|8|417|1317
C2H2	transcription factor	Potra2n9c19780.5	IPR001841,IPR017907	protein AED:0.07 eAED:0.07 QI:234|1|1|1|0.66|0.57|7|7491|1317
C2H2	transcription factor	Potra2n9c19780.6	IPR001841,IPR017907	protein AED:0.07 eAED:0.07 QI:369|1|1|1|0.8|0.66|6|7491|1317
AUX-IAA	transcription factor interactor and regulator	Potra2n3c7967.1	IPR011525	protein AED:0.25 eAED:0.25 QI:113|1|1|1|1|1|3|362|183
MYB	transcription factor	Potra2n3c7978.1	IPR001005,IPR017877	protein AED:0.32 eAED:0.37 QI:0|0|0.33|1|0|0|3|758|466
WD40-like	transcription factor	Potra2n3c7975.1	IPR001680,IPR017986	protein AED:0.17 eAED:0.17 QI:0|0.92|0.92|1|0.96|0.92|28|871|1016
WD40-like	transcription factor	Potra2n3c7975.2	IPR001680,IPR017986	protein AED:0.18 eAED:0.18 QI:0|0.92|0.92|1|1|1|27|777|1016
WD40-like	transcription factor	Potra2n3c7975.3	IPR001680,IPR017986	protein AED:0.12 eAED:0.12 QI:0|1|1|1|0.96|0.88|26|1677|943
WD40-like	transcription factor	Potra2n3c7975.4	IPR001680,IPR017986	protein AED:0.17 eAED:0.17 QI:0|1|1|1|0.92|0.92|26|1126|943
WD40-like	transcription factor	Potra2n3c7975.5	IPR001680,IPR017986	protein AED:0.14 eAED:0.14 QI:0|1|1|1|0.95|0.96|25|1488|943
WD40-like	transcription factor	Potra2n3c7975.6	IPR001680,IPR017986	protein AED:0.27 eAED:0.26 QI:0|0.95|0.95|1|0.95|0.95|24|0|958
AP2-EREBP	transcription factor	Potra2n3c7987.1	IPR001471	protein AED:0.28 eAED:0.28 QI:0|-1|0|1|-1|1|1|0|187
WD40-like	transcription factor	Potra2n3c8018.1	IPR001680,IPR017986	protein AED:0.21 eAED:0.21 QI:335|1|1|1|1|1|2|919|464
AP2-EREBP	transcription factor	Potra2n3c8021.1	IPR001471	protein AED:0.44 eAED:0.44 QI:0|0|0|0.25|1|1|4|0|341
Homobox-WOX	transcription factor	Potra2n3c8006.1	IPR001356,IPR002913,IPR009057	protein AED:0.09 eAED:0.09 QI:148|1|1|1|0.9|0.72|11|2552|397
HD-SAD	transcription factor & lipid binding	Potra2n3c8006.1	IPR001356,IPR002913,IPR009057	protein AED:0.09 eAED:0.09 QI:148|1|1|1|0.9|0.72|11|2552|397
bHLH	transcription factor	Potra2n3c8013.1	IPR011598	protein AED:0.17 eAED:0.17 QI:573|1|1|1|0.87|0.77|9|417|312
bHLH	transcription factor	Potra2n3c8013.2	IPR011598	protein AED:0.21 eAED:0.21 QI:369|1|1|1|0.87|0.77|9|417|312
C2H2	transcription factor	Potra2n3c8014.1	IPR001841,IPR017907,IPR018957	protein AED:0.28 eAED:0.28 QI:414|0.75|0.88|1|0.75|1|9|634|368
CCHC(Zn)	transcription factor interactor and regulator	Potra2n3c8056.1	IPR001878	protein AED:0.32 eAED:0.41 QI:91|1|0.5|1|0|0|2|0|393
ssDNA-binding-TF	transcription factor	Potra2n3c8041.1	IPR009044,IPR013742	protein AED:0.34 eAED:0.34 QI:151|0.87|0.88|1|0.62|0.88|9|409|256
ssDNA-binding-TF	transcription factor	Potra2n3c8041.2	IPR009044,IPR013742	protein AED:0.24 eAED:0.24 QI:1022|1|1|1|0.71|0.87|8|409|252
ssDNA-binding-TF	transcription factor	Potra2n3c8041.3	IPR009044,IPR013742	protein AED:0.35 eAED:0.35 QI:151|1|1|1|0.85|1|8|409|229
ssDNA-binding-TF	transcription factor	Potra2n3c8041.4	IPR009044,IPR013742	protein AED:0.34 eAED:0.34 QI:339|1|1|1|0.83|0.85|7|409|196
CHROMO-DOMAIN	chromatin remodeling & transcriptional activation	Potra2n3c8025.1	IPR000953,IPR016197	protein AED:0.69 eAED:0.69 QI:0|0|0|0.33|1|1|3|0|127
Homobox-WOX	transcription factor	Potra2n3c8027.1	IPR001356,IPR002913,IPR004827,IPR009057	protein AED:0.19 eAED:0.19 QI:890|1|1|1|0.88|0.84|19|782|838
HD-SAD	transcription factor & lipid binding	Potra2n3c8027.1	IPR001356,IPR002913,IPR004827,IPR009057	protein AED:0.19 eAED:0.19 QI:890|1|1|1|0.88|0.84|19|782|838
Homobox-WOX	transcription factor	Potra2n3c8027.2	IPR001356,IPR002913,IPR004827,IPR009057	protein AED:0.14 eAED:0.14 QI:1574|1|1|1|0.94|0.94|18|782|838
HD-SAD	transcription factor & lipid binding	Potra2n3c8027.2	IPR001356,IPR002913,IPR004827,IPR009057	protein AED:0.14 eAED:0.14 QI:1574|1|1|1|0.94|0.94|18|782|838
Homobox-WOX	transcription factor	Potra2n3c8027.3	IPR001356,IPR002913,IPR004827,IPR009057	protein AED:0.15 eAED:0.15 QI:1574|0.93|1|1|0.87|0.94|17|782|806
HD-SAD	transcription factor & lipid binding	Potra2n3c8027.3	IPR001356,IPR002913,IPR004827,IPR009057	protein AED:0.15 eAED:0.15 QI:1574|0.93|1|1|0.87|0.94|17|782|806
AUX-IAA	transcription factor interactor and regulator	Potra2n3c8046.1	IPR011525	protein AED:0.12 eAED:0.12 QI:737|1|1|1|0.8|0.66|6|388|390
AUX-IAA	transcription factor interactor and regulator	Potra2n3c8046.2	IPR011525	protein AED:0.13 eAED:0.13 QI:723|1|1|1|0.8|0.66|6|388|390
AUX-IAA	transcription factor interactor and regulator	Potra2n3c8046.3	IPR011525	protein AED:0.10 eAED:0.10 QI:866|1|1|1|1|1|5|388|390
NAM	transcription factor	Potra2n3c8054.1	IPR003441	protein AED:0.23 eAED:0.22 QI:350|0.75|0.8|1|0.75|0.6|5|517|434
NAM	transcription factor	Potra2n3c8054.2	IPR003441	protein AED:0.25 eAED:0.24 QI:350|0.75|0.8|1|1|1|5|108|503
WD40-like	transcription factor	Potra2n3c8106.1	IPR001680,IPR017986	protein AED:0.25 eAED:0.24 QI:161|0.73|0.75|0.93|0.73|0.75|16|432|490
WD40-like	transcription factor	Potra2n3c8106.2	IPR001680,IPR017986	protein AED:0.26 eAED:0.25 QI:161|0.8|0.81|0.93|0.8|0.81|16|432|479
AS2-LOB	transcription factor	Potra2n3c8075.1	IPR004883	protein AED:0.05 eAED:0.05 QI:71|-1|1|1|-1|1|1|0|278
C2H2	transcription factor	Potra2n3c8071.1	IPR007087,IPR015880	protein AED:0.13 eAED:0.13 QI:394|1|1|1|0.66|0.5|4|550|545
C2H2	transcription factor	Potra2n3c8071.2	IPR007087,IPR015880	protein AED:0.10 eAED:0.10 QI:659|1|1|1|1|1|3|550|545
PHD	chromatin regulator	Potra2n3c8085.1	IPR001841,IPR001965,IPR011011,IPR013083,IPR019786,IPR019787	protein AED:0.20 eAED:0.20 QI:325|0.6|0.83|1|1|1|6|964|269
CCHC(Zn)	transcription factor interactor and regulator	Potra2n3c8112.1	IPR001878	protein AED:0.30 eAED:0.67 QI:0|0|0|1|0.66|0.75|4|0|529
WD40-like	transcription factor	Potra2n3c8124.1	IPR001680,IPR017986	protein AED:0.32 eAED:0.32 QI:485|0.93|0.93|1|0.73|0.68|16|679|525
WD40-like	transcription factor	Potra2n3c8124.2	IPR001680,IPR017986,IPR019775	protein AED:0.32 eAED:0.32 QI:485|0.93|0.93|1|0.73|0.68|16|679|513
WD40-like	transcription factor	Potra2n3c8124.3	IPR001680,IPR017986,IPR019775	protein AED:0.31 eAED:0.31 QI:485|0.92|0.93|1|0.78|0.73|15|850|513
WD40-like	transcription factor	Potra2n3c8124.4	IPR001680,IPR017986,IPR019775	protein AED:0.31 eAED:0.31 QI:485|0.92|0.92|1|0.84|0.85|14|907|513
C2C2-Dof	transcription factor	Potra2n3c8126.1	IPR003851	protein AED:0.38 eAED:0.38 QI:0|-1|1|1|-1|1|1|0|235
AP2-EREBP	transcription factor	Potra2n3c8133.1	IPR001471	protein AED:0.08 eAED:0.08 QI:336|1|1|1|0|0|2|252|179
RR-A-type	response regulator and putative novel transcription factor	Potra2n3c8139.1	IPR001789	protein AED:0.20 eAED:0.20 QI:422|0.85|0.87|1|0.71|0.5|8|199|751
RR-A-type	response regulator and putative novel transcription factor	Potra2n3c8139.4	IPR001789	protein AED:0.13 eAED:0.13 QI:494|1|1|1|1|1|6|900|737
CCHC(Zn)	transcription factor interactor and regulator	Potra2n3c8174.1	IPR001878	protein AED:0.09 eAED:0.41 QI:0|0|0|1|1|0.5|2|0|277
B3-Domain	transcription factor	Potra2n3c8208.1	IPR003340	protein AED:0.27 eAED:0.27 QI:0|-1|0|1|-1|1|1|0|110
CCHC(Zn)	transcription factor interactor and regulator	Potra2n3c8207.1	IPR001878	protein AED:0.25 eAED:0.47 QI:0|0|0|1|0|0|2|0|408
B3-Domain	transcription factor	Potra2n3c8206.1	IPR003340	protein AED:0.54 eAED:0.50 QI:67|0|0|0.75|0|0|4|0|127
B3-Domain	transcription factor	Potra2n3c8206.2	IPR003340	protein AED:0.58 eAED:0.58 QI:0|0|0|0.5|0|0|2|0|114
BED-type(Zn)	transcription factor/ chromatin remodeling	Potra2n3c8144.1	IPR003656,IPR012337	protein AED:0.06 eAED:0.06 QI:236|1|1|1|0|0|4|193|903
FAR	transcription factor	Potra2n3c8147.1	IPR004330,IPR006564	protein AED:0.27 eAED:0.27 QI:277|1|1|1|0|0.5|2|764|657
FAR	transcription factor	Potra2n3c8149.1	IPR004330,IPR006564	protein AED:0.31 eAED:0.29 QI:0|0|0.5|0.5|1|1|2|520|758
B3-Domain	transcription factor	Potra2n3c8196.1	IPR003340	protein AED:0.33 eAED:0.33 QI:0|-1|0|1|-1|1|1|0|109
NAM	transcription factor	Potra2n3c8220.1	IPR003441	protein AED:0.16 eAED:0.16 QI:196|1|1|1|1|1|3|209|191
SNF2	chromatin remodeling	Potra2n3c8224.1	IPR000330,IPR006562	protein AED:0.11 eAED:0.10 QI:271|0.76|0.77|0.95|0.80|0.77|22|2522|1547
MYB-HB-like	transcription factor	Potra2n3c8224.2	IPR000330,IPR001005,IPR006562,IPR009057,IPR017877	protein AED:0.12 eAED:0.10 QI:271|0.76|0.72|0.95|0.90|0.90|22|679|2159
SNF2	chromatin remodeling	Potra2n3c8224.2	IPR000330,IPR001005,IPR006562,IPR009057,IPR017877	protein AED:0.12 eAED:0.10 QI:271|0.76|0.72|0.95|0.90|0.90|22|679|2159
MYB-HB-like	transcription factor	Potra2n3c8224.3	IPR000330,IPR001005,IPR006562,IPR009057,IPR017877	protein AED:0.11 eAED:0.11 QI:271|0.76|0.77|0.95|0.85|0.86|22|679|2138
SNF2	chromatin remodeling	Potra2n3c8224.3	IPR000330,IPR001005,IPR006562,IPR009057,IPR017877	protein AED:0.11 eAED:0.11 QI:271|0.76|0.77|0.95|0.85|0.86|22|679|2138
EIL	transcription factor	Potra2n9c18729.1	IPR006957,IPR023278	protein AED:0.26 eAED:0.26 QI:0|-1|0|1|-1|1|1|0|631
MYB-HB-like	transcription factor	Potra2n3c8224.4	IPR000330,IPR001005,IPR006562,IPR009057,IPR017877	protein AED:0.12 eAED:0.12 QI:271|0.8|0.76|0.95|1|1|21|679|2086
SNF2	chromatin remodeling	Potra2n3c8224.4	IPR000330,IPR001005,IPR006562,IPR009057,IPR017877	protein AED:0.12 eAED:0.12 QI:271|0.8|0.76|0.95|1|1|21|679|2086
MYB-HB-like	transcription factor	Potra2n3c8224.5	IPR001005,IPR009057,IPR017877	protein AED:0.37 eAED:0.37 QI:0|1|0.66|1|1|1|3|679|610
CCHC(Zn)	transcription factor interactor and regulator	Potra2n3c8245.1	IPR001878	protein AED:0.27 eAED:0.47 QI:0|0|0|0.75|0.66|0.5|4|0|460
CCHC(Zn)	transcription factor interactor and regulator	Potra2n3c8247.1	IPR001878	protein AED:0.19 eAED:0.36 QI:0|0|0|1|0|0|2|0|710
B3-Domain	transcription factor	Potra2n3c8311.1	IPR003340	protein AED:0.00 eAED:-0.00 QI:0|-1|0|1|-1|1|1|0|119
B3-Domain	transcription factor	Potra2n3c8320.1	IPR003340	protein AED:0.31 eAED:0.31 QI:0|-1|1|1|-1|1|1|0|106
B3-Domain	transcription factor	Potra2n3c8315.1	IPR003340	protein AED:0.40 eAED:0.40 QI:0|-1|0|1|-1|1|1|0|110
B3-Domain	transcription factor	Potra2n3c8316.1	IPR003340	protein AED:0.40 eAED:0.40 QI:0|-1|0|1|-1|1|1|0|110
B3-Domain	transcription factor	Potra2n3c8318.1	IPR003340	protein AED:0.40 eAED:0.40 QI:0|-1|0|1|-1|1|1|0|110
B3-Domain	transcription factor	Potra2n3c8313.1	IPR003340	protein AED:0.43 eAED:0.43 QI:0|-1|1|1|-1|1|1|0|121
B3-Domain	transcription factor	Potra2n3c8314.1	IPR003340	protein AED:0.43 eAED:0.43 QI:0|-1|1|1|-1|1|1|0|120
B3-Domain	transcription factor	Potra2n3c8289.1	IPR003340	protein AED:0.35 eAED:0.38 QI:0|0.37|0.33|1|1|1|9|0|547
B3-Domain	transcription factor	Potra2n3c8287.1	IPR003340	protein AED:0.46 eAED:0.46 QI:0|-1|0|1|-1|1|1|0|121
B3-Domain	transcription factor	Potra2n3c8283.1	IPR003340	protein AED:0.46 eAED:0.46 QI:0|-1|0|1|-1|1|1|0|119
bZIP	transcription factor	Potra2n3c8300.1	IPR004827	protein AED:0.18 eAED:0.18 QI:326|1|1|1|0.75|0.8|5|881|382
bZIP	transcription factor	Potra2n3c8300.2	IPR004827	protein AED:0.11 eAED:0.11 QI:857|1|1|1|1|1|4|881|382
B3-Domain	transcription factor	Potra2n3c8291.7	IPR003340	protein AED:0.45 eAED:0.46 QI:0|0|0|1|1|1|3|0|330
B3-Domain	transcription factor	Potra2n3c8321.1	IPR003340	protein AED:0.33 eAED:0.33 QI:0|0|0|0.66|1|1|3|0|206
